ASSET,TAGS1,TAGS2
IP,BASIC MATERIALS,
IPG,TELECOMMUNICATIONS SERVICES,
IPGP,TECHNOLOGY,
IQV,HEALTHCARE,
IR,INDUSTRIALS,
IRM,REAL ESTATE,
ISRG,HEALTHCARE,
IT,TECHNOLOGY,
ITW,INDUSTRIALS,
IVZ,FINANCIALS,
J,INDUSTRIALS,
JBHT,INDUSTRIALS,
JBL,TECHNOLOGY,
JEF,FINANCIALS,
JKHY,TECHNOLOGY,
JNJ,HEALTHCARE,
JNPR,TECHNOLOGY,
JPM,FINANCIALS,
JWN,CONSUMER CYCLICALS,
K,CONSUMER NON CYCLICALS,
KDP,CONSUMER NON CYCLICALS,
KEY,FINANCIALS,
KEYS,TECHNOLOGY,
KHC,CONSUMER NON CYCLICALS,
KIM,REAL ESTATE,
KLAC,TECHNOLOGY,
KMB,CONSUMER NON CYCLICALS,
KMI,ENERGY,
KMX,CONSUMER CYCLICALS,
KR,CONSUMER NON CYCLICALS,
KSS,CONSUMER CYCLICALS,
KSU,INDUSTRIALS,
KVUE,CONSUMER NON CYCLICALS,
L,FINANCIALS,
LDOS,TECHNOLOGY,
LEG,CONSUMER CYCLICALS,
LEN,CONSUMER CYCLICALS,
LH,HEALTHCARE,
LHX,INDUSTRIALS,
LIN,BASIC MATERIALS,
LKQ,CONSUMER CYCLICALS,
LLL,INDUSTRIALS,
LLY,HEALTHCARE,
LMT,INDUSTRIALS,
LNC,FINANCIALS,
LNT,UTILITIES,
LOW,CONSUMER CYCLICALS,
LRCX,TECHNOLOGY,
LULU,CONSUMER CYCLICALS,
LUMN,TELECOMMUNICATIONS SERVICES,
LUV,INDUSTRIALS,
LVS,CONSUMER CYCLICALS,
LW,CONSUMER NON CYCLICALS,
LYB,BASIC MATERIALS,
LYV,TELECOMMUNICATIONS SERVICES,
M,CONSUMER CYCLICALS,
MA,TECHNOLOGY,
MAA,REAL ESTATE,
MAC,REAL ESTATE,
MAR,CONSUMER CYCLICALS,
MAS,INDUSTRIALS,
MAT,CONSUMER CYCLICALS,
MCD,CONSUMER CYCLICALS,
MCHP,TECHNOLOGY,
MCK,HEALTHCARE,
MCO,FINANCIALS,
MDLZ,CONSUMER NON CYCLICALS,
MDT,HEALTHCARE,
MET,FINANCIALS,
META,TELECOMMUNICATIONS SERVICES,
MGM,CONSUMER CYCLICALS,
MHK,CONSUMER CYCLICALS,
MKC,CONSUMER NON CYCLICALS,
MKTX,FINANCIALS,
MLM,BASIC MATERIALS,
MMC,FINANCIALS,
MMM,INDUSTRIALS,
MNST,CONSUMER NON CYCLICALS,
MO,CONSUMER NON CYCLICALS,
MOH,HEALTHCARE,
MOS,BASIC MATERIALS,
MPC,ENERGY,
MPWR,TECHNOLOGY,
MRK,HEALTHCARE,
MRNA,HEALTHCARE,
MRO,ENERGY,
MS,FINANCIALS,
MSCI,FINANCIALS,
MSFT,TECHNOLOGY,
MSI,TECHNOLOGY,
MTB,FINANCIALS,
MTCH,TELECOMMUNICATIONS SERVICES,
MTD,HEALTHCARE,
MU,TECHNOLOGY,
MXIM,TECHNOLOGY,
NBL,ENERGY,
NCLH,CONSUMER CYCLICALS,
NDAQ,FINANCIALS,
NDSN,INDUSTRIALS,
NEE,UTILITIES,
NEM,BASIC MATERIALS,
NFLX,TELECOMMUNICATIONS SERVICES,
NFX,ENERGY,
NI,UTILITIES,
NKE,CONSUMER CYCLICALS,
NKTR,HEALTHCARE,
NLSN,CONSUMER CYCLICALS,
NOC,INDUSTRIALS,
NOV,ENERGY,
NOW,TECHNOLOGY,
NRG,UTILITIES,
NSC,INDUSTRIALS,
NTAP,TECHNOLOGY,
NTRS,FINANCIALS,
NUE,BASIC MATERIALS,
NVDA,TECHNOLOGY,
NVR,CONSUMER CYCLICALS,
NWL,CONSUMER CYCLICALS,
NWS,TELECOMMUNICATIONS SERVICES,
NWSA,TELECOMMUNICATIONS SERVICES,
NXPI,TECHNOLOGY,
O,REAL ESTATE,
ODFL,INDUSTRIALS,
OGN,HEALTHCARE,
OKE,ENERGY,
OMC,TELECOMMUNICATIONS SERVICES,
ON,TECHNOLOGY,
ORCL,TECHNOLOGY,
ORLY,CONSUMER CYCLICALS,
OTIS,INDUSTRIALS,
OXY,ENERGY,
PANW,TECHNOLOGY,
PARAA,TELECOMMUNICATIONS SERVICES,
PAYC,TECHNOLOGY,
PAYX,TECHNOLOGY,
PBCT,FINANCIALS,
PCAR,INDUSTRIALS,
PCG,UTILITIES,
PEAK,REAL ESTATE,
PEG,UTILITIES,
PENN,CONSUMER CYCLICALS,
PEP,CONSUMER NON CYCLICALS,
PFE,HEALTHCARE,
PFG,FINANCIALS,
PG,CONSUMER NON CYCLICALS,
PGR,FINANCIALS,
PH,INDUSTRIALS,
PHM,CONSUMER CYCLICALS,
PKG,BASIC MATERIALS,
PLD,REAL ESTATE,
PM,CONSUMER NON CYCLICALS,
PNC,FINANCIALS,
PNR,INDUSTRIALS,
PNW,UTILITIES,
PODD,HEALTHCARE,
POOL,CONSUMER CYCLICALS,
PPG,BASIC MATERIALS,
PPL,UTILITIES,
PRGO,HEALTHCARE,
PRU,FINANCIALS,
PSA,REAL ESTATE,
PSX,ENERGY,
PTC,TECHNOLOGY,
PVH,CONSUMER CYCLICALS,
PWR,INDUSTRIALS,
PXD,ENERGY,
PYPL,TECHNOLOGY,
QCOM,TECHNOLOGY,
QRVO,TECHNOLOGY,
RCL,CONSUMER CYCLICALS,
REG,REAL ESTATE,
REGN,HEALTHCARE,
RF,FINANCIALS,
RHI,INDUSTRIALS,
RHT,TECHNOLOGY,
RJF,FINANCIALS,
RL,CONSUMER CYCLICALS,
RMD,HEALTHCARE,
ROK,INDUSTRIALS,
ROL,INDUSTRIALS,
ROP,INDUSTRIALS,
ROST,CONSUMER CYCLICALS,
RSG,INDUSTRIALS,
RTN,INDUSTRIALS,
RTX,INDUSTRIALS,
RVTY,HEALTHCARE,
SBAC,REAL ESTATE,
SBNY,FINANCIALS,
SBUX,CONSUMER CYCLICALS,
SCG,UTILITIES,
SCHW,FINANCIALS,
SEDG,TECHNOLOGY,
SEE,BASIC MATERIALS,
SHW,BASIC MATERIALS,
SIVB,FINANCIALS,
SJM,CONSUMER NON CYCLICALS,
SLB,ENERGY,
SLG,REAL ESTATE,
SNA,INDUSTRIALS,
SNPS,TECHNOLOGY,
SO,UTILITIES,
SPG,REAL ESTATE,
SPGI,FINANCIALS,
SRE,UTILITIES,
STE,HEALTHCARE,
STI,FINANCIALS,
STLD,BASIC MATERIALS,
STT,FINANCIALS,
STX,TECHNOLOGY,
STZ,CONSUMER NON CYCLICALS,
SWK,INDUSTRIALS,
SWKS,TECHNOLOGY,
SYF,FINANCIALS,
SYK,HEALTHCARE,
SYY,CONSUMER NON CYCLICALS,
T,TELECOMMUNICATIONS SERVICES,
TAP,CONSUMER NON CYCLICALS,
TDG,INDUSTRIALS,
TDY,INDUSTRIALS,
TECH,HEALTHCARE,
TEL,TECHNOLOGY,
TER,TECHNOLOGY,
TFC,FINANCIALS,
TFX,HEALTHCARE,
TGT,CONSUMER CYCLICALS,
TIF,CONSUMER CYCLICALS,
TJX,CONSUMER CYCLICALS,
TMO,HEALTHCARE,
TMUS,TELECOMMUNICATIONS SERVICES,
TPR,CONSUMER CYCLICALS,
TRGP,ENERGY,
TRIP,TELECOMMUNICATIONS SERVICES,
TRMB,TECHNOLOGY,
TROW,FINANCIALS,
TRV,FINANCIALS,
TSCO,CONSUMER CYCLICALS,
TSLA,CONSUMER CYCLICALS,
TSN,CONSUMER NON CYCLICALS,
TSS,TECHNOLOGY,
TTWO,TELECOMMUNICATIONS SERVICES,
TWTR,TELECOMMUNICATIONS SERVICES,
TXN,TECHNOLOGY,
TXT,INDUSTRIALS,
TYL,TECHNOLOGY,
UA,CONSUMER CYCLICALS,
UAL,INDUSTRIALS,
UBER,INDUSTRIALS,
UDR,REAL ESTATE,
UHS,HEALTHCARE,
ULTA,CONSUMER CYCLICALS,
UNH,HEALTHCARE,
UNM,FINANCIALS,
UNP,INDUSTRIALS,
UPS,INDUSTRIALS,
URI,INDUSTRIALS,
USB,FINANCIALS,
V,TECHNOLOGY,
VAR,HEALTHCARE,
VFC,CONSUMER CYCLICALS,
VIA,CONSUMER CYCLICALS,
VICI,REAL ESTATE,
VLO,ENERGY,
VLTO,TECHNOLOGY,
VMC,BASIC MATERIALS,
VNO,REAL ESTATE,
VNT,INDUSTRIALS,
VRSK,INDUSTRIALS,
VRSN,TECHNOLOGY,
VRTX,HEALTHCARE,
VTR,REAL ESTATE,
VTRS,HEALTHCARE,
VZ,TELECOMMUNICATIONS SERVICES,
WAB,INDUSTRIALS,
WAT,HEALTHCARE,
WBA,CONSUMER NON CYCLICALS,
WBD,TELECOMMUNICATIONS SERVICES,
WCG,HEALTHCARE,
WDC,TECHNOLOGY,
WEC,UTILITIES,
WELL,REAL ESTATE,
WFC,FINANCIALS,
WHR,CONSUMER CYCLICALS,
WM,INDUSTRIALS,
WMB,ENERGY,
WMT,CONSUMER NON CYCLICALS,
WRB,FINANCIALS,
WRK,BASIC MATERIALS,
WTW,FINANCIALS,
WU,TECHNOLOGY,
WY,REAL ESTATE,
WYNN,CONSUMER CYCLICALS,
XEC,ENERGY,
XEL,UTILITIES,
XLNX,TECHNOLOGY,
XOM,ENERGY,
XRAY,HEALTHCARE,
XRX,TECHNOLOGY,
XYL,INDUSTRIALS,
YUM,CONSUMER CYCLICALS,
ZBH,HEALTHCARE,
ZBRA,TECHNOLOGY,
ZION,FINANCIALS,
ZTS,HEALTHCARE,
